"Date and Time","IP Address","Visitor_Label","Browser","Version","OS","Resolution","Country","Region","City","Postal Code","ISP","Returning Count","Type","URL","Page Title","Came From","SE Name","SE Host","SE Term","Type"
"2018-01-23 20:16:39","194.94.209.92","","Firefox","57.0","Linux","2560x1440","Germany","","","","Verein zur Foerderung eines Deutschen Forschungsne","2","page view","https://support.astron.nl/LOFARImagingCookbook/dpppcalibrate.html","Gain calibration with DPPP — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-23 16:25:43","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-23 10:32:45","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","3","page view","https://support.astron.nl/LOFARImagingCookbook/factor.html","Factor: Facet Calibration for LOFAR — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/index.html","","","",""
"2018-01-23 10:01:18","145.18.169.94","","","","","","","","","","","0","download","https://support.astron.nl/LOFARImagingCookbook/index.html","","https://support.astron.nl/LOFARImagingCookbook/index.html","","","",""
"2018-01-23 10:01:10","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","2","page view","https://support.astron.nl/LOFARImagingCookbook/index.html","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/losoto.html","","","",""
"2018-01-23 10:01:06","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","2","page view","https://support.astron.nl/LOFARImagingCookbook/gettingstarted.html","Introduction to LOFAR computing facilities — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/index.html","","","",""
"2018-01-23 10:01:01","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","2","page view","https://support.astron.nl/LOFARImagingCookbook/index.html","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/losoto.html","","","",""
"2018-01-23 10:00:37","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","2","page view","https://support.astron.nl/LOFARImagingCookbook/losoto.html#losoto-parset","LoSoTo: LOFAR Solution Tool — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/losoto.html","","","",""
"2018-01-23 10:00:16","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","2","page view","https://support.astron.nl/LOFARImagingCookbook/losoto.html","LoSoTo: LOFAR Solution Tool — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/factor.html","","","",""
"2018-01-23 08:37:40","145.18.169.94","","","","","","","","","","","0","exit click","https://github.com/lofar-astron/prefactor/wiki","","https://support.astron.nl/LOFARImagingCookbook/factor.html","","","",""
"2018-01-23 08:36:24","145.18.169.94","","","","","","","","","","","0","exit click","https://github.com/lofar-astron/prefactor","","https://support.astron.nl/LOFARImagingCookbook/factor.html","","","",""
"2018-01-23 08:25:38","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","1","page view","https://support.astron.nl/LOFARImagingCookbook/factor.html","Factor: Facet Calibration for LOFAR — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=prefact&check_keywords=yes&area=default","","","",""
"2018-01-23 08:24:38","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","1","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=prefact&check_keywords=yes&area=default","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-23 08:24:25","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","1","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-22 20:04:46","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-22 15:01:30","193.1.67.241","","Firefox","57.0","Win10","1366x768","Ireland","","","","HEAnet Limited","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-22 14:39:30","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/tutorial.html?highlight=losoto","Practical examples — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=losoto&check_keywords=yes&area=default","","","",""
"2018-01-22 14:39:27","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=losoto&check_keywords=yes&area=default","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/losoto.html?highlight=h5parm_merge","","","",""
"2018-01-22 14:32:49","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/losoto.html?highlight=h5parm_merge","LoSoTo: LOFAR Solution Tool — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=H5parm_merge&check_keywords=yes&area=default","","","",""
"2018-01-22 14:32:44","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=H5parm_merge&check_keywords=yes&area=default#","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=H5parm_merge.py&check_keywords=yes&area=default","","","",""
"2018-01-22 14:32:39","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=H5parm_merge.py&check_keywords=yes&area=default","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/factor.html?highlight=prefactor","","","",""
"2018-01-22 13:54:43","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/dppp.html","The Default Pre-Processing Pipeline (DPPP) — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
